function,method,step size,iterations,ni,nj,error x1,error x2,error fvalue
f6,newton,grippo_backtracking_armijo,9,19,26,0,0,0
f6,newton,grippo_bisection_wolfe_weak,11,36,47,0,0,0
f6,newton,grippo_wolfe_strong,93,217,3,0,0,0
f6,newton,grippo_bisection_goldstein,11,45,32,0,0,0
f6,steepest,backtracking_armijo,10000,150879,20000,0.00795887243154447,0.0237205768320883,6.3455783908844e-05
f6,steepest,wolfe_strong,10000,114005,39825,0.0103521140152628,0.0285918755026209,0.000566872945728901
f6,steepest,bisection_wolfe_weak,10000,155476,155475,0.605838756071495,3.14150014030772,0.367065066960644
f6,steepest,bisection_goldstein,10000,234493,20000,0.00725292504556874,0.0216139122483785,5.26207230545413e-05
f6,steepest,hanger_zhang_backtracking_armijo,10000,110332,20000,0.588722362474294,1.07897003774975,2.55292875876729
f6,steepest,hanger_zhang_bisection_wolfe_weak,10000,97543,97542,0.636714731024739,0.897631681766908,0.701595356831248
f6,steepest,hanger_zhang_wolfe_strong,10000,77543,40000,0.636714731024739,0.897631681766908,0.701595356831248
f6,steepest,hanger_zhang_bisection_goldstein,10000,187647,20000,0.342227400927343,0.604703801072781,1.34259414599491
f6,steepest,grippo_backtracking_armijo,10000,141944,20000,0.0142031773563444,0.0422997558623787,0.000210288757708169
f6,steepest,grippo_bisection_wolfe_weak,10000,96892,96891,0.398100121599376,0.737697559527954,0.354237460131184
f6,steepest,grippo_wolfe_strong,10000,76920,40000,0.398100113025066,0.737697569502912,0.354237282575782
f6,steepest,grippo_bisection_goldstein,10000,223987,20000,0.0109889584268807,0.0330014237608915,0.00013639868701618
f7,newton,backtracking_armijo,7,15,20,1.37672434155201e-16,2.38962586983152e-15,0
f7,newton,wolfe_strong,43,95,3,1.45650487227625e-15,1.38632595200928e-15,0
f7,newton,bisection_wolfe_weak,7,20,27,1.08615071922884e-15,2.05907789263158e-15,0
f7,newton,bisection_goldstein,6,25,17,5.90446198869167e-16,2.98962041662086e-16,0
f7,newton,hanger_zhang_backtracking_armijo,7,15,20,1.37672434155201e-16,2.38962586983152e-15,0
f7,newton,hanger_zhang_bisection_wolfe_weak,7,20,27,1.08615071922884e-15,2.05907789263158e-15,0
f7,newton,hanger_zhang_wolfe_strong,43,95,3,1.45650487227625e-15,1.38632595200928e-15,0
f7,newton,hanger_zhang_bisection_goldstein,6,25,17,5.90446198869167e-16,2.98962041662086e-16,0
f7,newton,grippo_backtracking_armijo,7,15,20,1.37672434155201e-16,2.38962586983152e-15,0
f7,newton,grippo_bisection_wolfe_weak,7,20,27,1.08615071922884e-15,2.05907789263158e-15,0
f7,newton,grippo_wolfe_strong,43,95,3,1.45650487227625e-15,1.38632595200928e-15,0
f7,newton,grippo_bisection_goldstein,6,25,17,5.90446198869167e-16,2.98962041662086e-16,0
f7,steepest,backtracking_armijo,21,60,41,1.68097233232985e-15,2.4167869273007e-15,0
f7,steepest,wolfe_strong,8,15,2,1.18959956745727e-15,1.80155910397182e-15,0
f7,steepest,bisection_wolfe_weak,7,23,23,6.99193385517813e-16,7.88087428424387e-16,0
f7,steepest,bisection_goldstein,6,29,11,1.72903242167173e-15,5.59213856069818e-16,0
f7,steepest,hanger_zhang_backtracking_armijo,10000,20001,20000,0.00118186150668258,3.37597191767562e-05,1.78333696641235e-06
f7,steepest,hanger_zhang_bisection_wolfe_weak,10000,30001,30000,0.00118186150668258,3.37597191767562e-05,1.78333696641235e-06
f7,steepest,hanger_zhang_wolfe_strong,8,15,2,1.18959956745727e-15,1.80155910397182e-15,0
f7,steepest,hanger_zhang_bisection_goldstein,10000,40001,20000,0.00118186150668258,3.37597191767562e-05,1.78333696641235e-06
f7,steepest,grippo_backtracking_armijo,958,1933,1915,8.32549509112553e-16,1.9367310584791e-16,0
f7,steepest,grippo_bisection_wolfe_weak,10000,30001,30000,0.00118186150668258,3.37597191767562e-05,1.78333696641235e-06
f7,steepest,grippo_wolfe_strong,8,15,2,1.18959956745727e-15,1.80155910397182e-15,0
f7,steepest,grippo_bisection_goldstein,244,981,487,2.45410987993725e-16,2.24782393291483e-15,0
